"iteration","apparent_auc","test_auc"
1,0.67693323571589,0.683595536583364
2,0.678240379784119,0.69075048409804
3,0.690907426374711,0.674889824115615
4,0.671873443277497,0.691761840479405
5,0.686099853670074,0.68290953073936
6,0.680047788315814,0.6850625357656
7,0.70265256216688,0.658571441506427
8,0.691613708419304,0.675129725722758
9,0.686036935991548,0.675985242294261
10,0.694405984428273,0.668914348719296
11,0.686934408228645,0.680735832026982
12,0.688264416697853,0.670207450655675
13,0.68579273518063,0.666236570595436
14,0.684527278343556,0.672256407358611
15,0.682181175585239,0.680642687857242
16,0.693118597678916,0.659819125948796
17,0.690049821226435,0.677395209580838
18,0.687391813019443,0.683952145354581
19,0.696224570207253,0.664578857741031
20,0.686816324885102,0.681304220835716
21,0.682133961448267,0.677266509266671
22,0.678686287126991,0.684647671611451
23,0.69297410826893,0.670837114030752
24,0.685816805302168,0.683318220241297
25,0.686064503383871,0.681581095834361
26,0.680002236630622,0.676968724067739
27,0.67847475332197,0.688864127508929
28,0.679272576978715,0.679467702291114
29,0.688202375069632,0.678162892339825
30,0.681605111033301,0.684264946160357
31,0.681648759819583,0.683705061600045
32,0.672827867478347,0.683778329945034
33,0.684335953448113,0.684896325770167
34,0.684054418440207,0.681820877993226
35,0.68111468621833,0.678670283269145
36,0.702449572488463,0.66427536181287
37,0.6797064547752,0.691487090371117
38,0.676646784638005,0.689422010141338
39,0.691797569411095,0.675178634824915
40,0.686326544578577,0.684852558474948
41,0.677827808471831,0.690620572076965
42,0.684491034844306,0.681195232027102
43,0.687121159734686,0.680252582673076
44,0.688794307841181,0.685167883153761
45,0.689366808198897,0.66777195839922
46,0.678808535465644,0.680388887234613
47,0.681643329743037,0.694568313328869
48,0.685695583775518,0.680169129414058
49,0.684039219417717,0.686440420406506
50,0.680086823035943,0.688076978874332
51,0.676388138266788,0.686254993800799
52,0.6787220739756,0.684534975167463
53,0.686019556841394,0.674879321793641
54,0.690392556472294,0.676781545284486
55,0.684674440777531,0.673539398312666
56,0.683071509229184,0.692891618915747
57,0.689547598041606,0.681969971049897
58,0.682171968887483,0.677922213537466
59,0.68133982816937,0.689819697680017
60,0.680446160650495,0.676703872589713
61,0.683291029460691,0.681134896177269
62,0.671071524632026,0.69245590438067
63,0.686784335319847,0.680051871394714
64,0.687316271501176,0.684519544951388
65,0.690369852747564,0.680758071921973
66,0.677009176787479,0.678444032849765
67,0.67873134211534,0.690070295802033
68,0.688655524062906,0.679166115452873
69,0.680766682405983,0.682692115226794
70,0.686605802713687,0.68342123219839
71,0.679394183058434,0.673093823085724
72,0.675338265143509,0.70022662304599
73,0.671410280056489,0.696345236540955
74,0.675491911904831,0.688487866735363
75,0.693002133371061,0.676608411112953
76,0.685448710888232,0.675753294655642
77,0.687754541809238,0.681205504987408
78,0.684183140164021,0.692786813246345
79,0.679977027803115,0.695549318383745
80,0.681602154764528,0.688154465554392
81,0.680088372828712,0.68147802411513
82,0.690517533482858,0.671510638361966
83,0.68980075703728,0.680279805474281
84,0.686748081018662,0.678353746546249
85,0.67633336212308,0.68754416247754
86,0.683267952478783,0.683094398097614
87,0.675146358425874,0.687386008017587
88,0.687412701747592,0.67244317341354
89,0.688312927955334,0.677900330768445
90,0.687927873983602,0.677320999034565
91,0.690361450575238,0.672985306654631
92,0.677157074455617,0.692633050112262
93,0.692750483409422,0.669840388162364
94,0.683164959233057,0.674517330207914
95,0.692224957131244,0.680424391818767
96,0.682258651629934,0.681644009857699
97,0.681349446957329,0.674104841375779
98,0.675611391926366,0.692248493369834
99,0.695112419162273,0.671068557177488
100,0.681474217609739,0.683902734335587
101,0.687958629831908,0.673318426856163
102,0.69011096778179,0.672330044507464
103,0.684373614475012,0.675810376344948
104,0.669916647030829,0.695757820843414
105,0.682882730238619,0.671970162446507
106,0.67446594890423,0.693738719977787
107,0.686045248868778,0.676316945065243
108,0.673968327280107,0.685024716515281
109,0.685533543691861,0.675326487164924
110,0.690136959038935,0.664477662409993
111,0.685871056517329,0.679182618061274
112,0.690864935090631,0.66361596450092
113,0.69522562128332,0.677913295375087
114,0.682335899158119,0.681276754614408
115,0.685337847595557,0.676588008208866
116,0.684426718350965,0.685563906672665
117,0.690104750734177,0.671183521414662
118,0.6801555034315,0.682974751788796
119,0.675620325433674,0.693217110595812
120,0.682575856195211,0.684523303824784
