"iteration","apparent_auc","test_auc"
1,0.709019088481554,0.688903126397139
2,0.694003924417172,0.707045070324346
3,0.692257816706281,0.720977423638778
4,0.709808512870141,0.689153900846746
5,0.709881553765355,0.695405581505551
6,0.709345321056199,0.690587732798189
7,0.713220349591461,0.685212665262129
8,0.694897843398612,0.708366192353849
9,0.712462235671507,0.682274910894158
10,0.68897465750601,0.702360845939198
11,0.691448190177527,0.714593969182956
12,0.693639243112655,0.691499452157844
13,0.69866689449386,0.701623576976274
14,0.692250952094608,0.70699943619311
15,0.713413846188421,0.68728637796582
16,0.698629083383055,0.697853422248764
17,0.695883353139003,0.702078859025418
18,0.706468982684455,0.691873428530765
19,0.716754391564482,0.697042027854238
20,0.695827431534173,0.689801508500557
21,0.711563505455408,0.698809066461775
22,0.705427198602538,0.696666307277628
23,0.698114964850928,0.708319911841994
24,0.708317578680506,0.69742502071251
25,0.702214315849908,0.7029262086514
26,0.696265394642215,0.716207454760194
27,0.700500627687976,0.687212384953982
28,0.695576404539155,0.712124536260157
29,0.702000597106725,0.697450481464851
30,0.700732610724121,0.70343084237805
31,0.694892490141494,0.699725250571479
32,0.689899585539039,0.69748791989288
33,0.712867890312937,0.696769831912145
34,0.710627823699411,0.698427498199033
35,0.707225767754599,0.688583740418603
36,0.69016778106981,0.703279588858778
37,0.713654984823162,0.696594819581153
38,0.70846645344063,0.685964683934227
39,0.72769492434652,0.688567034964976
40,0.698687619691337,0.694772007163521
41,0.715706923298282,0.675308641975309
42,0.703049828949079,0.696183886138101
43,0.700978047080029,0.692245051921541
44,0.693985966291356,0.700128249726526
45,0.695967765088224,0.706458071315788
46,0.705886636956544,0.713596117189257
47,0.703592555598475,0.699171842650103
48,0.708459030537697,0.697517677021548
49,0.707597067038912,0.701471160418529
50,0.717534936947921,0.679736007728167
51,0.692434223917325,0.714369732692208
52,0.697003445724481,0.701868730801071
53,0.714572770657383,0.684756463272199
54,0.686319560291319,0.708342873172734
55,0.702007701127985,0.713740184226405
56,0.717719079375014,0.687936762515752
57,0.698313724997803,0.700546642178945
58,0.694033736421022,0.702680277796737
59,0.702187837108954,0.689413479869911
60,0.695214665480102,0.700568310408127
61,0.701468179157443,0.682102537243948
62,0.696614154380949,0.7095006024031
63,0.704520082967633,0.681509286273394
64,0.7073882158463,0.701096299391138
65,0.709741517741518,0.690978791813516
66,0.701279245894479,0.701526325616131
67,0.70262978388927,0.700646777584165
68,0.713412786079442,0.678741768885863
69,0.715363834197486,0.696391274323311
70,0.712848479527684,0.672077263403368
71,0.709419974397799,0.703057359307359
72,0.700160915734617,0.700168873953588
73,0.697098057258691,0.69193838254172
74,0.723213864097842,0.672659057281759
75,0.709364038496276,0.687890420819016
76,0.696350593850594,0.706473805268732
77,0.689027824926748,0.71279836316965
78,0.708760270387145,0.696840950403889
79,0.693039211152984,0.691455859371901
80,0.723321536095796,0.682713984887898
81,0.698500079080699,0.699045335658239
82,0.711115553206774,0.692900147034514
83,0.696258560065787,0.691663550946095
84,0.705938607870515,0.685183909036093
85,0.701302104381043,0.722384112600503
86,0.689376696777988,0.701462264150943
87,0.708091505265993,0.687129633543261
88,0.68802678464693,0.714741977776345
89,0.698939501495023,0.716575719138141
90,0.708060590441829,0.695939215883219
91,0.706698954910551,0.69797218520986
92,0.688888806381926,0.714208126993902
93,0.721356483538971,0.671534486169266
94,0.719712231841804,0.701424314786247
95,0.709331141943764,0.677144772117962
96,0.710748791026294,0.706364936902088
97,0.708166154152279,0.707207207207207
98,0.704832965586653,0.690468446362109
99,0.710058411121532,0.68370476845709
100,0.701645547495274,0.69709476256689
