"iteration","apparent_auc","test_auc"
1,0.690619273500246,0.667829533970517
2,0.692939621833892,0.663605913383062
3,0.688834528708501,0.663214610854096
4,0.686104344586836,0.682669456548865
5,0.690694613837029,0.671692669517293
6,0.694386459289222,0.673172914387988
7,0.674910603724137,0.676477063523696
8,0.688460765637037,0.669712511319017
9,0.68624623458383,0.679813575017838
10,0.684265808941782,0.674410258327414
11,0.670808076910241,0.712584541062802
12,0.688713554392029,0.66588622388855
13,0.684101621172332,0.68751532801962
14,0.681769077426693,0.68257271719604
15,0.685377516735225,0.666140172101449
16,0.689302558579318,0.670689655172414
17,0.682312692349895,0.679469812747958
18,0.677411521137287,0.696482174158805
19,0.686607324559036,0.674995325879669
20,0.675666660125974,0.677021263785335
21,0.685923962688967,0.674711392743589
22,0.682313843760341,0.692226883039604
23,0.686668492948886,0.668331289284072
24,0.68952596877461,0.66709584772412
25,0.672714635755348,0.684968817807991
26,0.681891166523596,0.670523017594601
27,0.676684242411796,0.686189616772905
28,0.694022977387729,0.670066509423939
29,0.695417758853336,0.668628915259643
30,0.696741679244199,0.662979396086937
31,0.679272360815448,0.6869309180522
32,0.687422302433576,0.680568990042674
33,0.684057325199629,0.679820715557178
34,0.70046599251549,0.656581346660363
35,0.695939533763327,0.674203595027956
36,0.681718203300937,0.689923493189028
37,0.686109640174903,0.661764156636572
38,0.689739602417174,0.669577424958591
39,0.667152603216871,0.693850984147208
40,0.687090728065364,0.679555914610262
41,0.685725350164709,0.674640205818389
42,0.674985782854782,0.685429825621808
43,0.686887171209205,0.683246250258466
44,0.669659421416609,0.699506377570789
45,0.677997836481556,0.67733302125341
46,0.690193445501113,0.683831817177406
47,0.68843868610228,0.675501167438662
48,0.679709965860543,0.677235700980242
49,0.693641988149997,0.682117660129993
50,0.691069377336129,0.671984156226971
51,0.683111617253193,0.687300994926115
52,0.683726471534255,0.668937199426273
53,0.684454258343418,0.681887503185525
54,0.677481409467468,0.677612808983635
55,0.681589833443058,0.681594812498656
56,0.683693953822278,0.681382298427011
57,0.674652722764745,0.692624623898154
58,0.686670424556099,0.665227575796681
59,0.689040868920197,0.663843790266627
60,0.688007189260289,0.659264972288487
61,0.681266819547849,0.687366352655609
62,0.675520084610014,0.675774621067154
63,0.703838285106726,0.654939903798649
64,0.685204130014863,0.680544160020531
65,0.68316774449944,0.681260945709282
66,0.684453262299476,0.678125124548455
67,0.688344802871426,0.671538355090179
68,0.68640408663292,0.664962438380631
69,0.680084028401274,0.699767999233055
70,0.689865036807451,0.691684151033965
71,0.701390384948984,0.656960043512666
72,0.692976301402158,0.665749307212429
73,0.695287483543,0.666059064254428
74,0.678690593241387,0.67377996536323
75,0.682566616390146,0.678858277262533
76,0.68284677408084,0.680446870434753
77,0.657380973458799,0.702534776123946
78,0.672138025766219,0.681791054152532
79,0.689865910643128,0.676106863022751
80,0.688647625419155,0.664522875816993
81,0.690500614497995,0.672237072541248
82,0.677222800847308,0.691316355956297
83,0.675728360958112,0.692358657243816
84,0.684200096336087,0.686630917299127
85,0.671453567247066,0.696156533892383
86,0.681147613255447,0.660992738303153
87,0.685499132117633,0.669947778601371
88,0.678349754752693,0.696139113467521
89,0.685321790034567,0.672510867520225
90,0.672341697763784,0.68388709919089
91,0.688149470988611,0.6892536103743
92,0.674512321370575,0.679655288813162
93,0.67646505015579,0.686978913976488
94,0.684783409244097,0.671099547645094
95,0.676771172679913,0.685225100234948
96,0.695298583326339,0.666339086384775
97,0.685454388600195,0.678345693412249
98,0.687786289947821,0.679150380679889
99,0.683826385508212,0.671841914239829
100,0.676074110185121,0.67872325870039
