"circuit","year","gender","higher_rank_won","age_diff","height_diff","aces_diff","blocks_diff","kill_eff_diff","error_rate_diff","dig_eff_diff","block_rate_diff","rank_diff","w_rank","l_rank","age_diff_z","height_diff_z","aces_diff_z","blocks_diff_z","kill_eff_diff_z","error_rate_diff_z","dig_eff_diff_z","block_rate_diff_z"
"AVP",2004,"M",0,-0.444900749999999,1,-1,3,-0.0105263157894737,-0.142690058479532,-0.184795321637427,0.0760233918128655,1,17,16,-0.195908540654074,0.377349706361529,-0.834624593802493,0.609445264112227,-1.15331781165111,-1.29551045277362,-2.26729530271314,0.722849644662107
"AVP",2004,"M",1,-3.59342915,0,2,3,0.127758420441347,-0.0760743321718932,-0.114982578397213,0.0691056910569106,7,13,20,-0.851956584998984,-0.100526290023822,0.482370497459886,0.609445264112227,0.25461267104299,-0.327624639077373,-1.55852616177865,0.605710751271577
"AVP",2004,"M",1,2.3216975,-1,0,2,0.123306233062331,-0.119692863595303,-0.0149051490514905,0.0722673893405601,3,15,18,0.380558030649697,-0.578402286409172,-0.395626230048367,0.224604348763401,0.209283226185675,-0.961375258023048,-0.542496847757369,0.659248458560033
"AVP",2004,"M",0,2.7446954,-0.5,-3,6,0.144202898550725,-0.0753623188405797,0.0753623188405797,0.106521739130435,16,17,1,0.468696649649292,-0.339464288216497,-1.71262132131075,1.7639680101587,0.422040274647357,-0.317279520278273,0.373937497932975,1.23928462516408
"AVP",2004,"M",1,-2.1259411,0.5,-1,5,-0.0426136363636364,-0.184659090909091,-0.178977272727273,0.181818181818182,1,8,9,-0.546181142318516,0.138411708168854,-0.834624593802493,1.37912709480988,-1.48001125574123,-1.90529485886917,-2.20822795574217,2.51429525136001
"AVP",2004,"M",1,4.50102665,-0.5,-2,3,0.00768849206349209,-0.0972222222222222,-0.0915178571428572,0.0456349206349206,16,5,21,0.834657357446735,-0.339464288216497,-1.27362295755662,0.609445264112227,-0.967865794952746,-0.634890564165309,-1.3203021706587,0.208275220125137
"AVP",2004,"M",1,0.741957549999999,0.5,4,-3,0.0393775801841855,0.015242934264846,0.035566846617974,-0.0765322324547475,9,4,13,0.0513930452644529,0.138411708168854,1.36036722496814,-1.69960022798073,-0.645226909780114,0.999159464746241,-0.0300833348145193,-1.86040708147288
"AVP",2004,"M",0,-9.32922655,3.5,0,1,0.0544013121924549,-0.0276107162383816,0.00902132312739201,0.00874794969928921,11,14,3,-2.04710498100158,1.5720396973249,-0.395626230048367,-0.160236566585424,-0.492264472747566,0.376522098373872,-0.299584961692836,-0.416339678431868
"AVP",2004,"M",0,-7.9301848,1.5,-1,-1,0.0797101449275363,-0.0341280972417017,0.0874240299205236,-0.0308555399719495,5,11,6,-1.7555914586702,0.616287704554204,-0.834624593802493,-0.929918397283075,-0.234585439902976,0.281828533277313,0.496393201627589,-1.08695396461629
"AVP",2004,"M",0,-1.7125257,-2,0,1,0.0820624546114742,0.033042846768337,0.0410312273057371,0.0312273057371097,3,10,7,-0.460039195918392,-1.05627828279452,-0.395626230048367,-0.160236566585424,-0.210635663528346,1.25778132105688,0.0253934195149667,-0.0356919772234449
"AVP",2004,"M",1,-0.398357299999997,1,1,5,0.0557834290401969,-0.0795734208367514,0.0705496308449549,0.0943396226415094,13,2,15,-0.186210441901156,0.377349706361529,0.0433721337057597,1.37912709480988,-0.478192605572486,-0.378464260099313,0.325077009461584,1.03300226415868
"AVP",2004,"M",0,-5.00479125,-1,-1,5,0.11441647597254,-0.133867276887872,-0.0102974828375286,0.140732265446224,9,17,8,-1.14603725632706,-0.578402286409172,-0.834624593802493,1.37912709480988,0.118773164615536,-1.16732082529028,-0.495717829019406,1.81857871959127
"AVP",2004,"M",0,-0.59548255,-1,-1,3,0.0155152224824356,-0.00322014051522246,-0.0398126463700234,0.0579625292740047,1,5,4,-0.227284752920076,-0.578402286409172,-0.834624593802493,0.609445264112227,-0.888178819824368,0.730902265623097,-0.79536852501751,0.417021230552196
"AVP",2004,"M",0,-0.295687900000001,0.5,1,3,0.0711111111111111,0.0333333333333333,-0.0133333333333333,0.0711111111111111,3,14,11,-0.164817571795852,0.138411708168854,0.0433721337057597,0.609445264112227,-0.322135535176353,1.26200191341417,-0.526539095281832,0.639668954180254
"AVP",2004,"M",0,0.841889099999996,-0.5,1,-1,-0.0852941176470589,0.0466386554621849,0.0647058823529412,-0.0126050420168067,8,10,2,0.0722154389725274,-0.339464288216497,0.0433721337057597,-0.929918397283075,-1.91455777369302,1.45532011692218,0.265748749228774,-0.777914413801489
"AVP",2004,"M",1,1.85763175,0,0,7,0.0998062015503876,-0.263565891472868,-0.0780038759689923,0.165213178294574,12,5,17,0.283862244854989,-0.100526290023822,-0.395626230048367,2.14880892550753,-0.0299797005245406,-3.05176247399567,-1.18310239333083,2.23311920658431
"AVP",2004,"M",0,-3.01026695,3,2,3,0.0217468805704101,-0.0306595365418895,-0.0367201426024955,0.0645276292335116,4,14,10,-0.730445081133916,1.33310169913223,0.482370497459886,0.609445264112227,-0.824731894162656,0.332224601613922,-0.76397209025623,0.528189459908294
"AVP",2004,"M",0,-3.58658455,1,-1,3,0.169191919191919,0.00404040404040404,0.106565656565657,0.0681818181818182,1,16,15,-0.850530399215072,0.377349706361529,-0.834624593802493,0.609445264112227,0.676463176642004,0.836393543202916,0.690727267926598,0.590066616024951
